species;treatment;temp;petri;sow_date;initial;cold_strat;D7;D14;D21;D28;D35;D42;empty;fungus
Agrostis tileni;A_alternate_light;15_5;1;21/04/2023;25;0;5;11;1;2;1;0;0;1
Agrostis tileni;A_alternate_light;15_5;2;21/04/2023;25;0;5;6;5;1;0;0;0;1
Agrostis tileni;A_alternate_light;15_5;3;21/04/2023;25;2;5;4;2;1;1;1;1;0
Agrostis tileni;A_alternate_light;15_5;4;21/04/2023;25;0;4;7;1;4;0;1;1;0
Agrostis tileni;B_alternate_dark;15_5;1;21/04/2023;25;;;;;;;10;1;0
Agrostis tileni;B_alternate_dark;15_5;2;21/04/2023;25;;;;;;;11;0;1
Agrostis tileni;B_alternate_dark;15_5;3;21/04/2023;25;;;;;;;13;0;1
Agrostis tileni;B_alternate_dark;15_5;4;21/04/2023;25;;;;;;;8;1;1
Agrostis tileni;C_alternate_WP;15_5;2;21/04/2023;24;0;0;0;2;1;2;1;0;0
Agrostis tileni;C_alternate_WP;15_5;3;21/04/2023;25;0;0;0;1;1;3;1;0;3
Agrostis tileni;C_alternate_WP;15_5;4;21/04/2023;25;0;0;0;1;0;2;0;0;2
Agrostis tileni;C_alternate_WP;15_5;1;21/04/2023;25;1;1;1;1;0;1;1;0;2
Agrostis tileni;D_constant_light;10;1;21/04/2023;25;0;1;12;5;2;1;0;0;0
Agrostis tileni;D_constant_light;10;2;21/04/2023;25;0;2;13;2;3;0;2;0;0
Agrostis tileni;D_constant_light;10;3;21/04/2023;25;1;1;15;4;0;1;0;1;0
Agrostis tileni;D_constant_light;10;4;21/04/2023;25;0;2;17;2;0;0;2;0;0
Androsace villosa;A_alternate_light;22_12;1;10/04/2023;25;0;0;0;2;1;0;0;1;0
Androsace villosa;A_alternate_light;22_12;2;10/04/2023;25;0;0;1;1;0;0;1;0;0
Androsace villosa;A_alternate_light;22_12;3;10/04/2023;25;0;0;0;2;2;0;0;0;0
Androsace villosa;A_alternate_light;22_12;4;10/04/2023;25;0;1;1;1;0;0;0;0;0
Androsace villosa;B_alternate_dark;22_12;1;10/04/2023;25;;;;;;;18;0;0
Androsace villosa;B_alternate_dark;22_12;2;10/04/2023;25;;;;;;;18;0;0
Androsace villosa;B_alternate_dark;22_12;3;10/04/2023;25;;;;;;;14;1;0
Androsace villosa;B_alternate_dark;22_12;4;10/04/2023;25;;;;;;;13;1;1
Androsace villosa;C_alternate_WP;22_12;1;10/04/2023;25;1;0;0;0;0;0;0;1;0
Androsace villosa;C_alternate_WP;22_12;2;10/04/2023;25;0;0;0;0;0;0;0;0;0
Androsace villosa;C_alternate_WP;22_12;3;10/04/2023;25;0;0;0;0;0;0;0;0;0
Androsace villosa;C_alternate_WP;22_12;4;10/04/2023;25;0;0;0;0;0;0;0;0;1
Androsace villosa;D_constant_light;17;1;10/04/2023;25;0;2;3;3;0;0;0;0;0
Androsace villosa;D_constant_light;17;2;10/04/2023;25;0;6;3;0;0;0;0;0;1
Androsace villosa;D_constant_light;17;3;10/04/2023;25;0;6;1;0;0;0;0;0;0
Androsace villosa;D_constant_light;17;4;10/04/2023;25;0;6;4;0;0;0;0;0;1
Anthyllis vulneraria;A_alternate_light;15_5;1;10/04/2023;24;18;0;1;1;0;1;0;0;0
Anthyllis vulneraria;A_alternate_light;15_5;2;10/04/2023;25;11;1;1;2;0;0;0;0;4
Anthyllis vulneraria;A_alternate_light;15_5;3;10/04/2023;25;17;0;0;0;0;0;0;0;1
Anthyllis vulneraria;A_alternate_light;15_5;4;10/04/2023;25;12;2;0;0;0;0;0;2;1
Anthyllis vulneraria;B_alternate_dark;15_5;1;10/04/2023;25;;;;;;;16;0;0
Anthyllis vulneraria;B_alternate_dark;15_5;2;10/04/2023;25;;;;;;;12;0;3
Anthyllis vulneraria;B_alternate_dark;15_5;3;10/04/2023;25;;;;;;;16;0;0
Anthyllis vulneraria;B_alternate_dark;15_5;4;10/04/2023;25;;;;;;;11;0;0
Anthyllis vulneraria;C_alternate_WP;15_5;1;10/04/2023;25;10;0;0;1;0;0;1;2;0
Anthyllis vulneraria;C_alternate_WP;15_5;2;10/04/2023;24;19;1;1;0;0;1;0;2;0
Anthyllis vulneraria;C_alternate_WP;15_5;3;10/04/2023;25;14;0;0;0;0;0;0;0;0
Anthyllis vulneraria;C_alternate_WP;15_5;4;10/04/2023;24;13;0;1;1;1;0;0;2;0
Anthyllis vulneraria;D_constant_light;10;1;10/04/2023;25;15;0;1;0;0;0;1;0;0
Anthyllis vulneraria;D_constant_light;10;2;10/04/2023;25;17;1;0;0;1;0;0;0;0
Anthyllis vulneraria;D_constant_light;10;3;10/04/2023;25;17;0;1;0;0;0;0;0;0
Anthyllis vulneraria;D_constant_light;10;4;10/04/2023;25;14;1;0;0;0;1;0;0;1
Arenaria erinacea;A_alternate_light;22_12;1;11/04/2023;24;0;0;0;0;0;1;0;0;1
Arenaria erinacea;A_alternate_light;22_12;2;11/04/2023;24;0;0;0;0;1;0;0;0;2
Arenaria erinacea;A_alternate_light;22_12;3;11/04/2023;25;0;0;0;0;1;1;2;0;0
Arenaria erinacea;A_alternate_light;22_12;4;11/04/2023;25;0;0;1;1;0;2;0;0;0
Arenaria erinacea;B_alternate_dark;22_12;1;11/04/2023;25;;;;;;;2;2;5
Arenaria erinacea;B_alternate_dark;22_12;2;11/04/2023;25;;;;;;;6;0;0
Arenaria erinacea;B_alternate_dark;22_12;3;11/04/2023;25;;;;;;;8;3;0
Arenaria erinacea;B_alternate_dark;22_12;4;11/04/2023;25;;;;;;;7;1;1
Arenaria erinacea;C_alternate_WP;22_12;1;11/04/2023;25;0;0;0;0;0;0;0;0;2
Arenaria erinacea;C_alternate_WP;22_12;2;11/04/2023;25;0;0;0;0;0;0;0;1;1
Arenaria erinacea;C_alternate_WP;22_12;3;11/04/2023;24;0;0;0;0;0;0;0;1;0
Arenaria erinacea;C_alternate_WP;22_12;4;11/04/2023;25;0;0;0;0;0;0;0;1;1
Arenaria erinacea;D_constant_light;17;1;11/04/2023;24;1;0;0;0;0;0;0;0;1
Arenaria erinacea;D_constant_light;17;2;11/04/2023;25;0;0;0;0;0;0;0;1;0
Arenaria erinacea;D_constant_light;17;3;11/04/2023;25;2;0;2;0;0;0;0;1;0
Arenaria erinacea;D_constant_light;17;4;11/04/2023;25;0;0;2;1;0;0;0;2;1
Armeria cantabrica;A_alternate_light;22_12;1;13/04/2023;25;0;4;4;3;1;0;1;5;1
Armeria cantabrica;A_alternate_light;22_12;2;13/04/2023;25;0;6;7;1;1;0;0;4;2
Armeria cantabrica;A_alternate_light;22_12;3;13/04/2023;23;0;5;9;2;1;0;0;0;0
Armeria cantabrica;A_alternate_light;22_12;4;13/04/2023;25;0;0;9;3;0;1;2;4;2
Armeria cantabrica;B_alternate_dark;22_12;1;13/04/2023;25;;;;;;;13;4;2
Armeria cantabrica;B_alternate_dark;22_12;2;13/04/2023;25;;;;;;;14;3;1
Armeria cantabrica;B_alternate_dark;22_12;3;13/04/2023;25;;;;;;;15;8;0
Armeria cantabrica;B_alternate_dark;22_12;4;13/04/2023;25;;;;;;;16;3;0
Armeria cantabrica;C_alternate_WP;22_12;1;13/04/2023;25;0;0;0;0;0;1;0;6;2
Armeria cantabrica;C_alternate_WP;22_12;2;13/04/2023;25;0;0;0;0;0;0;0;10;0
Armeria cantabrica;C_alternate_WP;22_12;3;13/04/2023;25;0;0;0;0;0;0;0;8;4
Armeria cantabrica;C_alternate_WP;22_12;4;13/04/2023;25;0;0;1;0;0;0;0;6;1
Armeria cantabrica;D_constant_light;17;1;13/04/2023;25;0;4;11;1;0;1;0;3;2
Armeria cantabrica;D_constant_light;17;2;13/04/2023;24;0;8;4;1;0;1;0;4;2
Armeria cantabrica;D_constant_light;17;3;13/04/2023;25;0;9;6;1;2;0;0;2;3
Armeria cantabrica;D_constant_light;17;4;13/04/2023;25;0;16;4;0;0;0;0;4;0
Armeria duriaei;A_alternate_light;22_12;1;13/04/2023;25;0;0;0;0;0;0;1;0;1
Armeria duriaei;A_alternate_light;22_12;2;13/04/2023;25;0;0;0;0;0;0;2;0;0
Armeria duriaei;A_alternate_light;22_12;3;13/04/2023;25;0;0;0;0;0;0;1;0;1
Armeria duriaei;A_alternate_light;22_12;4;13/04/2023;25;0;0;0;0;2;0;1;0;0
Armeria duriaei;B_alternate_dark;22_12;1;13/04/2023;25;;;;;;;0;0;0
Armeria duriaei;B_alternate_dark;22_12;2;13/04/2023;25;;;;;;;0;0;0
Armeria duriaei;B_alternate_dark;22_12;3;13/04/2023;25;;;;;;;0;2;0
Armeria duriaei;B_alternate_dark;22_12;4;13/04/2023;25;;;;;;;0;0;1
Armeria duriaei;C_alternate_WP;22_12;1;13/04/2023;25;0;0;0;0;0;0;0;0;0
Armeria duriaei;C_alternate_WP;22_12;2;13/04/2023;25;0;0;0;0;0;0;0;0;0
Armeria duriaei;C_alternate_WP;22_12;3;13/04/2023;25;0;0;0;0;0;0;0;0;0
Armeria duriaei;C_alternate_WP;22_12;4;13/04/2023;25;0;0;0;0;0;0;0;0;1
Armeria duriaei;D_constant_light;17;1;13/04/2023;25;0;3;0;0;2;6;2;1;0
Armeria duriaei;D_constant_light;17;2;13/04/2023;25;0;1;0;1;0;3;7;0;0
Armeria duriaei;D_constant_light;17;3;13/04/2023;25;0;5;1;3;1;2;4;0;0
Armeria duriaei;D_constant_light;17;4;13/04/2023;25;0;2;1;1;1;4;9;1;0
Avenella flexuosa;A_alternate_light;22_12;1;21/04/2023;20;11;0;0;0;0;0;0;0;9
Avenella flexuosa;A_alternate_light;22_12;2;21/04/2023;20;17;0;0;0;0;0;0;0;2
Avenella flexuosa;A_alternate_light;22_12;3;21/04/2023;20;16;0;0;0;0;0;0;0;1
Avenella flexuosa;B_alternate_dark;22_12;1;21/04/2023;20;;;;;;;13;0;4
Avenella flexuosa;B_alternate_dark;22_12;2;21/04/2023;20;;;;;;;15;0;4
Avenella flexuosa;B_alternate_dark;22_12;3;21/04/2023;20;;;;;;;14;3;2
Avenella flexuosa;C_alternate_WP;22_12;1;21/04/2023;20;17;0;0;0;0;0;0;0;0
Avenella flexuosa;C_alternate_WP;22_12;2;21/04/2023;20;20;;;;;;;0;0
Avenella flexuosa;C_alternate_WP;22_12;3;21/04/2023;20;15;0;0;0;0;0;0;0;5
Avenella flexuosa;D_constant_light;17;1;21/04/2023;20;13;0;0;0;0;0;0;3;3
Avenella flexuosa;D_constant_light;17;2;21/04/2023;20;14;0;0;0;0;0;0;1;4
Avenella flexuosa;D_constant_light;17;3;21/04/2023;18;14;0;0;0;0;0;0;0;4
Carex sempervirens;A_alternate_light;22_12;1;13/04/2023;25;0;0;7;11;3;1;0;1;0
Carex sempervirens;A_alternate_light;22_12;2;13/04/2023;25;0;0;14;5;1;1;0;0;0
Carex sempervirens;A_alternate_light;22_12;3;13/04/2023;25;0;0;13;4;3;1;0;0;1
Carex sempervirens;A_alternate_light;22_12;4;13/04/2023;25;0;0;8;13;0;0;0;0;1
Carex sempervirens;B_alternate_dark;22_12;1;13/04/2023;25;;;;;;;2;1;0
Carex sempervirens;B_alternate_dark;22_12;2;13/04/2023;25;;;;;;;5;0;1
Carex sempervirens;B_alternate_dark;22_12;3;13/04/2023;25;;;;;;;10;2;0
Carex sempervirens;B_alternate_dark;22_12;4;13/04/2023;25;;;;;;;8;0;1
Carex sempervirens;C_alternate_WP;22_12;1;13/04/2023;25;0;0;0;0;0;0;0;1;2
Carex sempervirens;C_alternate_WP;22_12;2;13/04/2023;25;0;0;0;0;0;0;0;2;1
Carex sempervirens;C_alternate_WP;22_12;3;13/04/2023;25;0;0;0;0;0;0;1;2;4
Carex sempervirens;C_alternate_WP;22_12;4;13/04/2023;25;0;0;0;0;1;0;0;2;1
Carex sempervirens;D_constant_light;17;1;13/04/2023;25;0;0;12;4;1;0;0;3;1
Carex sempervirens;D_constant_light;17;2;13/04/2023;25;0;0;10;8;2;0;0;0;2
Carex sempervirens;D_constant_light;17;3;13/04/2023;25;0;0;12;3;3;0;0;2;1
Carex sempervirens;D_constant_light;17;4;13/04/2023;25;0;0;8;4;2;4;0;0;2
Cerastium ramosissimum;A_alternate_light;22_12;1;13/04/2023;24;4;0;0;0;0;0;0;1;0
Cerastium ramosissimum;A_alternate_light;22_12;2;13/04/2023;25;4;0;0;0;0;0;0;1;0
Cerastium ramosissimum;A_alternate_light;22_12;3;13/04/2023;24;6;0;0;0;0;0;0;1;0
Cerastium ramosissimum;A_alternate_light;22_12;4;13/04/2023;23;4;0;0;0;0;0;0;4;0
Cerastium ramosissimum;B_alternate_dark;22_12;1;13/04/2023;25;;;;;;;3;3;2
Cerastium ramosissimum;B_alternate_dark;22_12;2;13/04/2023;25;;;;;;;7;3;0
Cerastium ramosissimum;B_alternate_dark;22_12;3;13/04/2023;25;;;;;;;2;7;0
Cerastium ramosissimum;B_alternate_dark;22_12;4;13/04/2023;25;;;;;;;3;3;1
Cerastium ramosissimum;C_alternate_WP;22_12;1;13/04/2023;24;3;0;0;0;0;0;0;3;0
Cerastium ramosissimum;C_alternate_WP;22_12;2;13/04/2023;25;4;0;0;0;0;0;0;3;1
Cerastium ramosissimum;C_alternate_WP;22_12;3;13/04/2023;24;6;0;0;0;0;0;0;1;2
Cerastium ramosissimum;C_alternate_WP;22_12;4;13/04/2023;25;3;0;0;0;0;0;0;2;1
Cerastium ramosissimum;D_constant_light;17;1;13/04/2023;24;7;0;0;0;0;0;0;1;0
Cerastium ramosissimum;D_constant_light;17;2;13/04/2023;24;5;0;0;0;0;0;0;2;0
Cerastium ramosissimum;D_constant_light;17;3;13/04/2023;25;2;0;0;0;0;0;0;4;0
Cerastium ramosissimum;D_constant_light;17;4;13/04/2023;25;5;0;0;0;0;0;0;1;0
Conopodium majus;A_alternate_light;15_5;1;10/04/2023;25;13;0;0;0;0;0;0;3;3
Conopodium majus;A_alternate_light;15_5;2;10/04/2023;25;14;1;0;0;0;0;0;1;0
Conopodium majus;A_alternate_light;15_5;3;10/04/2023;25;13;0;0;0;0;0;0;1;2
Conopodium majus;A_alternate_light;15_5;4;10/04/2023;25;12;0;0;0;0;0;0;3;4
Conopodium majus;B_alternate_dark;15_5;1;10/04/2023;25;;;;;;;14;0;1
Conopodium majus;B_alternate_dark;15_5;2;10/04/2023;25;;;;;;;10;1;0
Conopodium majus;B_alternate_dark;15_5;3;10/04/2023;25;;;;;;;8;0;1
Conopodium majus;B_alternate_dark;15_5;4;10/04/2023;25;;;;;;;13;0;0
Conopodium majus;C_alternate_WP;15_5;1;10/04/2023;24;15;0;0;0;0;0;0;2;0
Conopodium majus;C_alternate_WP;15_5;2;10/04/2023;25;17;0;0;0;0;0;0;2;2
Conopodium majus;C_alternate_WP;15_5;3;10/04/2023;24;15;0;0;0;0;0;0;0;1
Conopodium majus;C_alternate_WP;15_5;4;10/04/2023;25;11;0;0;0;0;0;0;2;0
Conopodium majus;D_constant_light;10;1;10/04/2023;25;18;1;0;1;0;0;0;2;0
Conopodium majus;D_constant_light;10;2;10/04/2023;25;20;1;1;0;0;0;0;0;1
Conopodium majus;D_constant_light;10;3;10/04/2023;25;13;0;0;0;0;0;0;3;3
Conopodium majus;D_constant_light;10;4;10/04/2023;25;14;1;0;0;0;1;0;1;1
Dianthus langeanus;A_alternate_light;22_12;1;12/04/2023;25;8;17;;;;;;0;0
Dianthus langeanus;A_alternate_light;22_12;2;12/04/2023;25;4;21;;;;;;0;0
Dianthus langeanus;A_alternate_light;22_12;3;12/04/2023;25;7;18;;;;;;0;0
Dianthus langeanus;A_alternate_light;22_12;4;12/04/2023;25;6;19;;;;;;0;0
Dianthus langeanus;B_alternate_dark;22_12;1;12/04/2023;25;;;;;;;25;0;0
Dianthus langeanus;B_alternate_dark;22_12;2;12/04/2023;25;;;;;;;24;0;0
Dianthus langeanus;B_alternate_dark;22_12;3;12/04/2023;25;;;;;;;23;0;0
Dianthus langeanus;B_alternate_dark;22_12;4;12/04/2023;25;;;;;;;24;0;0
Dianthus langeanus;C_alternate_WP;22_12;1;12/04/2023;25;7;8;3;0;1;0;0;0;0
Dianthus langeanus;C_alternate_WP;22_12;2;12/04/2023;25;9;10;0;0;0;0;0;0;0
Dianthus langeanus;C_alternate_WP;22_12;3;12/04/2023;25;9;14;0;0;0;0;0;0;0
Dianthus langeanus;C_alternate_WP;22_12;4;12/04/2023;25;4;18;1;0;0;0;0;0;1
Dianthus langeanus;D_constant_light;17;1;12/04/2023;25;8;17;;;;;;0;0
Dianthus langeanus;D_constant_light;17;2;12/04/2023;25;9;15;0;0;0;0;0;0;0
Dianthus langeanus;D_constant_light;17;3;12/04/2023;25;3;20;0;0;1;0;0;0;0
Dianthus langeanus;D_constant_light;17;4;12/04/2023;25;5;20;;;;;;0;0
Erigeron alpinus;A_alternate_light;15_5;1;21/04/2023;25;0;17;2;0;0;1;0;0;3
Erigeron alpinus;A_alternate_light;15_5;2;21/04/2023;25;0;16;5;1;1;0;1;0;0
Erigeron alpinus;A_alternate_light;15_5;3;21/04/2023;22;0;9;4;2;2;0;0;0;4
Erigeron alpinus;B_alternate_dark;15_5;1;21/04/2023;25;;;;;;;16;0;2
Erigeron alpinus;B_alternate_dark;15_5;2;21/04/2023;25;;;;;;;20;0;0
Erigeron alpinus;B_alternate_dark;15_5;3;21/04/2023;25;;;;;;;21;0;1
Erigeron alpinus;C_alternate_WP;15_5;1;21/04/2023;25;0;5;6;0;1;1;0;0;5
Erigeron alpinus;C_alternate_WP;15_5;2;21/04/2023;25;0;0;4;2;2;0;3;0;2
Erigeron alpinus;C_alternate_WP;15_5;3;21/04/2023;25;0;1;2;0;2;0;0;0;2
Erigeron alpinus;D_constant_light;10;1;21/04/2023;25;0;11;6;0;0;0;0;0;2
Erigeron alpinus;D_constant_light;10;2;21/04/2023;23;0;14;4;0;0;1;1;0;2
Erigeron alpinus;D_constant_light;10;3;21/04/2023;25;0;16;2;1;0;0;0;2;2
Euphrasia salisburgensis;A_alternate_light;15_5;1;13/04/2023;25;0;0;0;0;0;0;0;0;1
Euphrasia salisburgensis;A_alternate_light;15_5;2;13/04/2023;25;0;0;0;0;0;0;0;0;1
Euphrasia salisburgensis;A_alternate_light;15_5;3;13/04/2023;25;0;0;0;0;0;0;0;0;3
Euphrasia salisburgensis;A_alternate_light;15_5;4;13/04/2023;25;0;0;0;0;0;0;0;0;8
Euphrasia salisburgensis;B_alternate_dark;15_5;1;13/04/2023;25;;;;;;;0;0;0
Euphrasia salisburgensis;B_alternate_dark;15_5;2;13/04/2023;25;;;;;;;0;0;0
Euphrasia salisburgensis;B_alternate_dark;15_5;3;13/04/2023;25;;;;;;;0;0;0
Euphrasia salisburgensis;B_alternate_dark;15_5;4;13/04/2023;25;;;;;;;0;0;5
Euphrasia salisburgensis;C_alternate_WP;15_5;1;13/04/2023;25;0;0;0;0;0;0;0;0;1
Euphrasia salisburgensis;C_alternate_WP;15_5;2;13/04/2023;25;0;0;0;0;0;0;0;1;1
Euphrasia salisburgensis;C_alternate_WP;15_5;3;13/04/2023;25;0;0;0;0;0;0;0;0;2
Euphrasia salisburgensis;C_alternate_WP;15_5;4;13/04/2023;25;0;0;0;0;0;0;0;0;0
Euphrasia salisburgensis;D_constant_light;10;1;13/04/2023;25;0;0;0;0;0;0;0;0;0
Euphrasia salisburgensis;D_constant_light;10;2;13/04/2023;25;0;0;0;0;0;0;0;0;0
Euphrasia salisburgensis;D_constant_light;10;3;13/04/2023;25;0;0;0;0;0;0;0;1;0
Euphrasia salisburgensis;D_constant_light;10;4;13/04/2023;25;0;0;0;0;0;0;0;0;0
Festuca glacialis;A_alternate_light;22_12;1;11/04/2023;25;0;0;15;4;2;1;1;0;0
Festuca glacialis;A_alternate_light;22_12;2;11/04/2023;25;0;0;13;3;4;2;1;0;0
Festuca glacialis;A_alternate_light;22_12;3;11/04/2023;25;0;0;15;0;5;1;0;1;0
Festuca glacialis;A_alternate_light;22_12;4;11/04/2023;25;0;2;21;1;0;0;0;0;1
Festuca glacialis;B_alternate_dark;22_12;1;11/04/2023;25;;;;;;;25;0;0
Festuca glacialis;B_alternate_dark;22_12;2;11/04/2023;25;;;;;;;25;0;0
Festuca glacialis;B_alternate_dark;22_12;3;11/04/2023;25;;;;;;;25;0;0
Festuca glacialis;B_alternate_dark;22_12;4;11/04/2023;25;;;;;;;24;1;0
Festuca glacialis;C_alternate_WP;22_12;1;11/04/2023;25;0;0;0;0;0;0;0;0;2
Festuca glacialis;C_alternate_WP;22_12;2;11/04/2023;25;0;0;0;0;0;0;0;1;1
